2.55 , 4.32491
2.56 , 4.28795
2.57 , 4.25001
2.58 , 4.2111
2.59 , 4.1712
2.6 , 4.13032
2.61 , 4.08845
2.62 , 4.04561
2.63 , 4.00179
2.64 , 3.95698
2.65 , 3.9112
2.66 , 3.86443
2.67 , 3.81668
2.68 , 3.76795
2.69 , 3.71824
2.7 , 3.66755
2.71 , 3.61588
2.72 , 3.56323
2.73 , 3.50959
2.74 , 3.45498
2.75 , 3.39938
2.76 , 3.34281
2.77 , 3.28525
2.78 , 3.22671
2.79 , 3.16719
2.8 , 3.10669
2.81 , 3.04521
2.82 , 2.98275
2.83 , 2.9193
2.84 , 2.85488
2.85 , 2.78947
2.86 , 2.72308
2.87 , 2.65572
2.88 , 2.58737
2.89 , 2.51804
2.9 , 2.44773
2.91 , 2.37644
2.92 , 2.30416
2.93 , 2.23091
2.94 , 2.15667
2.95 , 2.08146
2.96 , 2.00526
2.97 , 1.92808
2.98 , 1.84992
2.99 , 1.77079
3 , 1.69066
3.01 , 1.60956
3.02 , 1.52748
3.03 , 1.44442
3.04 , 1.36037
3.05 , 1.27535
3.06 , 1.18934
3.07 , 1.10235
3.08 , 1.01438
3.09 , 0.925432
3.1 , 0.835501
3.11 , 0.74459
3.12 , 0.652697
3.13 , 0.559823
3.14 , 0.465968
3.15 , 0.371133
3.16 , 0.276669
3.17 , 0.184199
3.18 , 0.0953078
3.19 , 0.0115221
3.2 , -0.065721
3.21 , -0.135096
3.22 , -0.195413
3.23 , -0.245636
3.24 , -0.284905
3.25 , -0.312544
3.26 , -0.328081
3.27 , -0.331248
3.28 , -0.32199
3.29 , -0.300468
3.3 , -0.26705
3.31 , -0.222309
3.32 , -0.167013
3.33 , -0.102112
3.34 , -0.0287177
3.35 , 0.0519093
3.36 , 0.138386
3.37 , 0.229228
3.38 , 0.322878
3.39 , 0.417728
3.4 , 0.51215
3.41 , 0.605592
3.42 , 0.698052
3.43 , 0.789532
3.44 , 0.880031
3.45 , 0.969548
3.46 , 1.05808
3.47 , 1.14564
3.48 , 1.23221
3.49 , 1.31781
3.5 , 1.40242
3.51 , 1.48605
3.52 , 1.5687
3.53 , 1.65037
3.54 , 1.73106
3.55 , 1.81077
3.56 , 1.8895
3.57 , 1.96724
3.58 , 2.04401
3.59 , 2.11979
3.6 , 2.19459
3.61 , 2.26841
3.62 , 2.34125
3.63 , 2.41311
3.64 , 2.48399
3.65 , 2.55389
3.66 , 2.62281
3.67 , 2.69074
3.68 , 2.7577
3.69 , 2.82367
3.7 , 2.88866
3.71 , 2.95267
3.72 , 3.0157
3.73 , 3.07775
3.74 , 3.13882
3.75 , 3.19891
3.76 , 3.25802
3.77 , 3.31614
3.78 , 3.37329
3.79 , 3.42945
3.8 , 3.48463
